event_date,year,event_type,actor1,assoc_actor_1,location,notes,link
11-Apr-19,2019,Protests,Protesters (India),TDP: Telugu Desam Party; Government of India (2014-),Tadpatri,"On 11 Apr, in Tadipatri (Anantapur, AP), a TDP legislator along with his folllowers staged a protest in front of the local police station condemning the death of a TDP member in a clash with YSCRP workers.",https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/telangana/news/two-evms-damaged-stray-incidents-of-violence-in-andhra-pradesh/articleshow/68827444.cms
11-Apr-19,2019,Riots,Rioters (India),,Chagalamarri,"On 11 Apr, in Chagalamarri tehsil (Kurnool, AP), incidents of stone-pelting by unknown groups were recorded during the AP general elections. No further information was provided.",https://timesofindia.indiatimes.com/elections/assembly-elections/andhra-pradesh/in-ap-women-voters-outnumbered-men-by-2-4-lakh/articleshow/68869251.cms
9-Apr-19,2019,Protests,Protesters (India),,Tiruvannamalai,"On 9 Apr, in Tiruvannamalai town (Tiruvannamalai, TN), relatives of a woman who recently died due to pregnancy complications staged a protest outside a private hospital alleging medical negligence. ",https://timesofindia.indiatimes.com/city/chennai/tn-woman-dies-after-giving-birth-to-boy-relatives-protest-medical-negligence/articleshow/68798265.cms
5-Apr-19,2019,Protests,Protesters (India),JD(S): Janata Dal (Secular),Mysuru,"On 5 Apr, in Mysuru district (Karnataka), JD(S) workers shouted pro-Modi slogans at a party meeting in protest against allegations that Congress leaders in Mandya were working to defeat a JD(S) leader in the upcoming general elections.",https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/karnataka/news/lok-sabha-elections-pro-modi-slogans-raised-at-jds-meeting-in-mysuru/articleshow/68749665.cms
5-Apr-19,2019,Protests,Protesters (India),Farmers (India),Diphu,"On April 5, farmers started a sitting hunger strike in Karbi Anglong district (Assam), in protest against the administrations' decision to close down jaggery godowns, following the death of over 150 people for drinking counterfeit alcohol, in February. The protest is being held in Karbi Anglong, Dima Hasao and Hojai districts. ",https://timesofindia.indiatimes.com/city/guwahati/over-100-farmers-on-hunger-strike-against-sealing-of-jaggery-godowns/articleshow/68788472.cms
5-Apr-19,2019,Protests,Protesters (India),Farmers (India),Haflong,"On April 5, farmers started a sitting hunger strike in Dima Hasao district (Assam), in protest against the administrations' decision to close down jaggery godowns, following the death of over 150 people for drinking counterfeit alcohol, in February. The protest is being held in Karbi Anglong, Dima Hasao and Hojai districts. ",https://timesofindia.indiatimes.com/city/guwahati/over-100-farmers-on-hunger-strike-against-sealing-of-jaggery-godowns/articleshow/68788472.cms
5-Apr-19,2019,Protests,Protesters (India),Farmers (India),Hojai,"On April 5, farmers started a sitting hunger strike in Dima Hasao district (Assam), in protest against the administrations' decision to close down jaggery godowns, following the death of over 150 people for drinking counterfeit alcohol, in February. The protest is being held in Karbi Anglong, Dima Hasao and Hojai districts.",https://timesofindia.indiatimes.com/city/guwahati/over-100-farmers-on-hunger-strike-against-sealing-of-jaggery-godowns/articleshow/68788472.cms
4-Apr-19,2019,Riots,Rioters (India),AIADMK: All India Anna Dravida Munnetra Kazhagam,Tirupattur,"On 4 Apr, near Tirupattur (Vellore, TN), a TV journalist was attacked by AIADMK workers after the former was seen filming a cash and biryani distribution to voters for the upcoming general elections by party workers in Pallapalli. The party workers also damaged the camera and celphone of the journalist.",https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/tamil-nadu/news/lok-sabha-elections-aiadmk-workers-booked-for-attacking-tamil-tv-journalist/articleshow/68725406.cms
3-Apr-19,2019,Protests,Protesters (India),TDP: Telugu Desam Party,Proddatur,"On 3 Apr, in Proddatur (Kadapa, AP), supporters of a chairman of Tirumala Tirupati Devasthanams (TTD) and TDP candidate for the upcoming general elections (Putta Sudhakar Yadav) staged a protest against the raid conducted by the Income Tax Department in the leader's residence.",https://timesofindia.indiatimes.com/city/vijayawada/i-t-raids-on-ttd-chairmans-house/articleshow/68712540.cms
3-Apr-19,2019,Riots,Rioters (India),TMC: Trinamool Congress Party,Kolkata,"On April 3, a BJP candidate was barricaded and assaulted by TMC workers in Ward 18 in Kolkata city (Kolkata, West Bengal), when he was campaigning for the upcoming Parliamentary elections. ",https://timesofindia.indiatimes.com/city/kolkata/trinamool-oppn-in-blame-game-as-workers-injured-during-wall-writing/articleshow/68730594.cms
