notes,event_type
"On 26 March 2019, four plainclothes police officers arbitrarily arrested three Papuan women selling beten nuts and vegetables in front of a local store suspected of illegal gambling activities in Wamena city, Jayawijaya regency, Papua province. In the process, a man standing nearby sustained a bullet injury in his right foot. They were all detained and subsequently released.",Violence against civilians
"On 25 March 2019, a 24-year-old female priest with the Indonesian Evangelical Christian Church and a 9-year-old girl were abducted by assailants on their way back from the market in Air Sugihan district, Ogan Komering Ilir regency, South Sumatra. They were both strangled, the priest was then subsequently raped and killed in an oil palm plantation. The younger girl survived as she passed out during the strangling and was tossed into the bushes. They were found Tuesday morning.",Violence against civilians
"On 22 March 2019, dozens of Muslim students staged a demonstration in Jakarta city to show support for New Zealand Muslims after 50 people were killed in attacks on mosques in Christchurch. [size=dozens]",Protests
"On 22 March 2019, the special squad Densus 88 arrested a militant on their most-wanted list and a former member of JAD in North Lampung regency coded at Kotabumi city. This was Densus 88's tenth arrest of a militant associated with JAD since 1 March 2019.",Other
"On 22 March 2019, a Papuan farmer went to the Siriwini Hospital to look after a sick in-law in Nabire town, Papua. When he found out he needed a visitor pass to enter he went around the back to an unguarded door. Upon exiting after his visit he was set upon by two members of the Denzipur 112 Infantry Unit who punched him in the face. They struck him four times with a rattan stick on the shoulders and back of the head. The farmer managed to escape on his motorcycle. This event is part of ongoing issues of Papuan people avoiding health facilities with the presence of military forces.",Violence against civilians
"On 21 March 2019, a gunfight erupted between members of the Ali Kalora-led East Indonesia Mujahideen (MIT) and the police's Tinombala Task Force in Air Teh hamlet, Marete village, Sausu district, Parigi Moutong regency, Central Sulawesi. Three MIT members died, no other injuries reported.",Other
"On 20 March 2019, Aceh's Sharia police publicly flogged five unmarried couples in front of a mosque in the Tengku Abdurrahman street in Banda Aceh, Aceh province. They each were whipped between 10 to 20 times with a wooden cane for either maintaining an affective relationship without marriage or for meeting alone in a private space without being married.",Violence against civilians
"On 20 March 2019, a clash erupted when the mobile brigade police were ambushed by a Papuan armed group, called an ""armed criminal group"" or Kelompok Kriminal Bersenjata by officials. The police were securing a helicopter landing for the construction of the Trans-Papua Highway project in Mugi district, Nduga, Papua province. The ensuing gunfire resulted in the death of one policeman and the injury of three others.",Other
"On 18 March 2019, 10 demonstrators hijacked a couple of Pertamina trucks and brought them to a demonstration by the Fuel Truck Drivers Workers Union in front of the Presidential Palace in Central Jakarta, Jakarta. The demonstrators were demonstrating against workers being let go from the state-owned energy company PT Pertamina. Demonstration organizers assert this wasn't planned. [size=10]",Riots
"On 18 March 2019, hundreds of members of the Fuel Truck Drivers Union staged a demonstration in front of the Presidential Palace in Central Jakarta, Jakarta city, to protest workers being laid-off by a subsidiary of state-owned energy company PT Pertamina. [size=hundreds]",Protests
"On 13 March 2019, the wife of an arrested Indonesian man detonated a bomb killing herself and her three children inside her besieged home in Sibolga town, North Sumatra province. Detachment 88 and local community leaders tried to persuade her to surrender. Her husband is believed to be a member of JAD.",Other
"On 13 March 2019, the deputy governor of Southeast Sulawesi addressed a group of student and farmer demonstrators at a staged demonstration in Kendari city, Southeast Sulawesi province. The protest was part of ongoing demonstrations against mining on the island of Wawonii. The deputy governor announced the revocation of mining permits in response to the demonstrations. [size=no report]",Protests
"On 12 March 2019, a number of people including a police officer were injured after a explosive device went off during a raid at a house in Sibolga town, North Sumatra province. It occurred as soon as they broke down the door of the suspect's home. The suspect was a member of JAD.",Other
"On 12 March 2019, a suspect, believed to be a member of JAD, and two others were arrested in Sibolga town, North Sumatra province for his alleged activities. Police found 300kg of explosives and more than 15 bombs - including a land mine, pipe bomb and vest bomb - in the houses of the suspect and his accomplice.",Other
"A few days before 13 March 2019, during ongoing demonstrations in Kendari city, Southeast Sulawesi province, by famers and students against mining on the island of Wawonii, several policemen were bloodied by rocks hurled from the crowd. Students were arrested and two cars were damaged. No fatalities reported. [size=no report]",Riots
"On 10 March 2019, police arrested a suspected militant affiliated with JAD in West Kalimantan province coded at Pontianak. The JAD member was accused of planning an attack on the police and several suspicious materials were found at his house with which to make a homemade bomb.",Other
"On 9 March 2019, the Indonesian military deploy 600 additional security force personnel in the Nduga Regency, Papua, in reaction to Papua armed groups action and to ensure the completion of a highway in construction. Location coded at Kenyam, capital of Nduga regency.",Other
"On 8 March 2019, hundreds of women activists staged a demonstration march near the Merdeka palace in Jakarta to mark International Women's Day and call for equal rights and the stop to violence. [size=hundreds]",Protests
"On 8 March 2019, over a hundred women staged a demonstration by marching from Baiturrahman Grand Mosque to the intersection of Sampang 5 in Banda Aceh city, Aceh province, while accompanied by dozens of police personnel, to seek protection of their rights, more representation in politics and to mark International Women's Day. [size=100]",Protests
"On 7 March 2019, the Indonesian military engaged in a gun battle with the West Papua National Liberation Army in Mugi district, Nduga Regency, Papua province, resulting in the death of three soldiers and at least one Papuan. A force of 50-70 rebels descended upon 25 soldiers who were there to guard the construction of a bridge for the Trans Papua highway. On 8 March 2019, the military announced the official fatality numbers: 3 soldiers, 10 rebels, and one unidentified person were killed during the clash.",Other
"On 6 March 2019, farmers and students staged a demonstration march from Halu Oleo University to the governor's office in Kendari city, Southeast Sulawesi province, to protest against the mining activity on the island of Wawonii. They managed to get into the courtyard of the building and the police responded by firing tear gas into the crowd, scattering the demonstrators. A video showed officers chasing down and thrashing a young demonstrator with iron rods. The total injured included four policemen, four students and three farmers from Wawonii. [size=no report]",Riots
"On 6 March 2019, residents staged a demonstration by occupying a company's overwater drilling platforms in Pari village, Kepulauan Seribu Regency, Jakarta, to protest a plan to construct an overwater villa in fears that it will deprive them of their livelihoods as fisherfolk and small business owners. [size=no report]",Protests
"In early March 2019, it was reported three members of MIT were shot dead in encounters with the Tinombala Task Force in Central Sulawesi province coded at Palu city.",Other
"On 5 March 2019, chicken farmers from West Java, Central Java, East Java and Kalimantan staged a demonstration in front of the State Palace in Jakarta to protest the price of chicken at the level of smallholders and independent farms, as they believe it to be too cheap. This is their seventh protest. [size=no report]",Protests
"On 4 March 2019, farmers and students staged a demonstration in front of the governor's office in Kendari city, Southeast Sulawesi province, against the mining activity on the island of Wawonii and attempted to break through a security barricade. They retreated and staged a mock ""die-in"" instead. [size=no report]",Protests
"On 4 March 2019, six unmarried couples who were caught in a raid on a hotel were brought by the authorities to a public flogging spot in Banda Aceh city, Aceh province, after having served several months in prison. They were beaten in front of a mob of Muslim men. They were injured so badly that two women were unable to walk afterwards.",Violence against civilians
"On 3 March 2019, the Tinombala police-military operation task force engaged in a shootout with five suspected members of the MIT terror group after a tip-off they were resting in a plantation in Padopi village in Poso Pesisir Selatan subdistrict, also known as South Pesisir subdistrict, Poso district, Central Sulawesi province. One suspected MIT member was killed and another injured.",Other
"On 3 March 2019, a Papuan man on a visit to Siriwini Hospital to see his son in Nabire town, Papua, was attacked by a military officer when he asked to stay for several minutes longer. He was slapped in the face and the commotion attracted eight other military members to the room and they collectively kicked the man with combat boots on his head, chest and back until he fainted. He was then dragged outside the hospital and left on the road. This event is part of ongoing issues of Papuan people avoiding health facilities with the presence of military forces.",Violence against civilians
"On 2 March 2019, the West Papua Liberation Army reported that there was an armed conflict between the Liberation Army and Indonesian military and police in Nduga Regency (coded at Kenaym city, Nduga district, Papua province). This was allegedly in retaliation for the Liberation Army destroying a state-owned digger the week previous. No injuries or fatalities reported. Papua's police chief has denied the validity of these reports.",Other
"Property destruction: On 1 March 2019, the West Papua Liberation Army reported that Indonesian forces burnt down six houses in Yal district, Nduga Province, of Papuan families in retaliation for the Liberation Army destroying a state-owned digger the week previous. Papua's police chief has denied the validity of these reports.",Other
"On 1 March 2019, an environmental group including an activist in an orangutan costume staged a demonstration outside the Chinese consulate in Medan city, North Sumatra province, against the construction of a dam that they fear will damage the habitat of an endangered orangutan species. [size=no report]",Protests
"On 1 March 2019, environmentalists from the Indonesia Forum for the Environment staged a rally in front of the Bank of China office in Jakarta in protest against a dam construction project in Batang Toru district, South Tapanuli, North Sumatra as it threatens the habitats of orangutans. The event was also attended by pro-dam supporters, who argue the development is necessary to achieve Indonesia's clean energy goals. [size=no report]",Protests
"On 28 February 2019, a group of people staged a demonstration in Panakkukang shopping mall in Makassar city, South Sulawesi province against the screening of the teen flick Dilan 1991, saying the film featured inappropriate content and violence. [size=no report]",Protests
"On 28 February 2019, a group of people, including a sociology professor at the State University of Jakarta, staged a demonstration in Jakarta against unresolved cases of rights abuses and plans to give jobless generals roles in the civilian bureaucracy. This included the professor singing a protest song from the 1998 student-led movement against former dictator Suharto, which was uploaded online. He was later arrested on 6 March 2019 and was being investigated for hate speech. [size=no report]",Protests
"On 27 February 2019, a Muslim cleric, who was a former commander of the disbanded Islamist organization Laskar Jihad, incited his followers to attack a Papuan resident in Jayapura city, Papua province. The resident was accused of playing loud music and disturbing morning prayers. They arrived dressed in white and wielding swords. No injuries reported but they severed the cables of the victim's speakers and damaged several houses in Muara Tami District of Jayapura. The attackers fled in a minibus. [size=no report]",Riots
"On 27 February 2019, the West Papua Liberation Army and military and police engaged in a shootout on Wednesday morning in Yigi district of Nduga Regency coded at Kenyam city, Nduga district, Papua. An unknown number of military and police were injured.",Other
"In reaction to an event on 27 February 2019, local residents burned tires and blocked roads in Muara Tami district of Jayapura, Papua province. The actions were in response to vandalism by the Islamic group Laskar Jihat, Jafar Umar Thalib (JUT), and seven of his followers. The police and the inter-religious forum in Jayapura de-escalated the demonstration to avoid conflict. [size=no report]",Protests
"On 26 February 2019, the West Papua Liberation Army set fire to a digger owned by Istaka Karya and fired shots in Yigi district of Nduga Regency coded at Kenyam city, Nduga district, Papua. An unknown number of military and police were later injured in a shootout which took place that same day.",Other
"At the end of February, as many as 50 protesters staged a demonstration in the Batang Toru area, South Tapanuli regency, North Sumatra, to demonstrate against the controversial Batang Toru dam project which is part of the ""Belt and Road Initiative.""[size=50]",Protests
"On 24 February 2019, three members of the Indonesian special forces (KOPASSUS) intercepted nine activists of the West Papua National Committee and a five-year-old girl in Kelapa Lima district of Merauke city, Papua province for wearing shirts with morning star flag emblems on them - a symbol of Papuan cultural identity which is also used by the separatist movement. The soldiers arrested them and forced the nine men to take off their shirts. One of the KNPB activists was allegedly brought to the backroom, held by the throat and slapped on the cheek. They were then threatened against using social media. The activists and child were released later that day.",Violence against civilians
"On 22 February 2019, a Papuan man went to Siriwini Hospital to visit a relative in Nabire town, Papua. When he tried to enter he was stopped by a military offer and asked to provide his visitor card. When he didn't have one the military office began punching him the face and kicking him with combat boots to the legs. The officer further used a rattan stick to hit his body and head. Elder men who witnessed it tried to intervene and brought the man to the emergency unit. The man then immediately left the hospital. This event is part of ongoing issues of Papuan people avoiding health facilities with the presence of military forces.",Violence against civilians
"On 21 February 2019, thousands of Muslim worshippers gathered for the ""212 Evening of Prayer"" in the National Monument (Monas) Square of Central Jakarta (Central Jakarta, Jakarta) to seek the mercy from Allah for Indonesia ahead of this year's general elections. Influential figures attended including Reform Movement leaders, legislators, speakers of the People's Consultative Assembly and an FPI leader. [size=thousands]",Protests
"On 21 February 2019, a group of journalists claim to have been intimidated and assaulted by members of an Islamist group, including the FPI, while covering ""212 Evening of Prayer"" event at the National Monument (Monas) in Central Jakarta (Central Jakarta, Jakarta). The commotion was triggered by the arrest of a pickpocket. Journalists recorded the incident and angered people who asked them to delete their videos and pictures, which showed a religious event in bad light. Some were scolded, some were beaten and clawed and forced to squat in front of dozens of people.",Riots
"Detonation: On 19 February 2019, a mysterious package was found in Sampang Market in Cilacap city (Cilacap, Central Java) and was detonated by the bomb squad Gegana of Central Java and Cilacap Resort Police. Afterwards, they affirmed that it was a fake bomb made with a pipe.",Other
"On 19 February 2019, three residents of Siodorejo subdistrict when exiting the Medan State University in North Sumatra in Medan city, North Sumatra were stopped by security guards after being accused of stealing the helmets of two people who had previously reported the theft. They refused to let their motorbike be checked. This led to four security guards and seven others, some of which are students, beating them severely. One died at the security post, the other on the way to the hospital. [size=11]",Riots
"On 18 February 2019, after being accused of theft, an Islamic boarding school student died from injuries after he was beaten and abused by 19 of his fellow students for a period over three days in Padang city (Padang, West Sumatra). He was hospitalized in a coma for more than a week before he passed.",Riots
"On 17 February 2019, at a viewing of a political debate between President Joko Widodo (PDI-P) and challenger Prabowo Subianto (Gerindra) in Central Jakarta (Central Jakarta, Jakarta), supporters of both had an explosive detonate close to them, causing damage to a tree, breaking the windows of nearby cars, and injuring two campaign volunteers. Supporters fled fearing a bomb, however the cause is unconfirmed. Jakarta police claim it to be a firecracker, although this has been disputed by experts who say too much damage was caused. The perpetrators are unknown.",Other
"On 14 February 2019, around 100 Muslim students staged a demonstration holding placards in front of the Kujang Monument in Bogor city (Bogor, West Java) against Valentine's Day celebrations, saying it promoted Western decadence and casual sex.",Protests
"On 14 February 2019, the Solidarity Network of Victims for Justice joined the 574th Kamisan, a weekly silent protest, in front of the Presidential Palace in Central Jakarta (Central Jakarta, Jakarta) to express their opposition to the music bill, as it could destroy freedom of expression.",Protests
"On 14 February 2019, around 100 Muslim students staged a demonstration holding placards in Surabaya city (Surabaya, East Java) against Valentine's Day celebrations, saying it promoted Western decadence and casual sex.",Protests
"On 14 February 2019, the West Papuan people of Manokwari staged a demonstration in Doberai region of Manokwari (Manokwari, West Papua) to show their support of the ULMWP successfully delivering a petition to the United Nations arguing for their self-determination. [size=no report]",Protests
"On 13 February 2019, the Indonesian police shot a West Papuan man three times in Merauke city (Merauke, Papua) allegedly because he was a thief. The man asserted he hadn't stolen anything and says the police officer was drunk when he shot him without warning.",Violence against civilians
