notes,event_type
"On 1 April 2019, two motorcyclists came into a compound where an activist campaigning for the Election Commission's impeachment in Bang Kapi district in Bangkok city, and set the activist's vehicle on fire with gasoline. A petition document that had been left in the vehicle was partly burned. The activist suspects the military government to be behind the destruction.",Other
"On 31 March 2019, a well-known redshirt activist was physically attacked by two unidentified assailants who broke into his home in Samut Prakarn province, after the activist had returned from demonstrating in Bangkok city to demand the impeachment of the Election Commission. He suffered minor attacks on his left arm.",Violence against civilians
"On 31 March 2019, several hundreds of opposition activists staged demonstrations in Bangkok near the Erawan Shrine and at the Victory Monument with banners reading ""Cheating Election"" and ""People Want to Vote."" They were demonstrating to have the Election Commission members dismissed, since they conceded errors in tabulation of the results. They were also soliciting signatures for a petition. [size=several hundreds]",Protests
"On 30 March 2019, a group of assailants assumed to be SMS opened fire on a man and woman, a rubber latex trader and a clerk, riding in a pickup in Ban Phruja village in tambon Nod, Saba Yoi district, Songkhla. The victims succumbed to their injuries at the hospital.",Violence against civilians
"On 30 March 2019, when an army major and three soldiers were driving back to their barracks from a wedding Ban Sakor village in Su-ngai Padi district, Narathiwat province, a bomb went off in front of their pickup truck followed by a number of assailants leaving hiding places and opening fire on the truck. One bullet hit the major in the leg and the assailants, suspected to be SMS, fled. The police dispatched to investigate the scene had a second bomb go off near them, 70 metres away from the first, but no one was injured by it.",Other
"On 28 March 2019, a group called ""the Green World Network in Phetchabun"" staged a demonstration march through the Mueang Phetchabun municipality, Phetchabun, to campaign against the oil exploration plan in Phetchabun's Si Thep district, 1.3km away from Si Thep Historical Park, fearing that the park would lose its status as a UNESCO World Heritage Site. [size=no report]",Protests
"On 26 March 2019, unidentified persons set fire to a car owned by an activist campaigning for the Election Commission's impeachment in Bangkok city. The car owner managed to put out the fire to keep it from being damaged too much. The activist suspects the military government to be behind the destruction.",Other
"On 19 March 2019, residents in five provinces gathered to demonstrate and submit an official letter to the Government House in Bangkok city, to ask the government to review the planned construction project of the third Bangkok Western Outer Ring Road, which would interfere with their homes and farmland. [size=no report]",Protests
"On 19-March-2019, in Songkhla city, Songkhla province, a former police officer was shot and killed in front of his home. The victim was known for campaigning against corruption. Police are still searching for the perpetrators.",Violence against civilians
"On 16 March 2019, the police pulled over three suspected pickup trucks involved in drug trafficking on Phahon Yothin Road in tambon Pasang of Mae Chan district, Chiang Rai province. A man in one of the three pickups allegedly opened fire and the police returned it. The officers found one man dead while the other two drivers surrendered. The trucks contained 8 million speed pills.",Other
"On 16 March 2018, around the world hundreds of thousands of students and young people left classrooms and staged demonstrations in support of the World Youth Climate Demo. Such protests were held in Bangkok. [size=no report]",Protests
"On 15 March 2019, an unknown number of men suspected to be Southern Muslim Separatists opened fire at a Yala-bound passenger train in Rueso district, Narathiwat province. The attack slightly damaged the train but caused no injuries.",Violence against civilians
"On 14 March 2019, a woman was killed when a bomb targeting rangers exploded in Sompoi village in tambon Kayomati, Bacho district, Narathiwat province. The bomb was hidden under piles of wood and went off shortly after a patrol pickup truck carrying rangers drove past. The rangers escaped unhurt but the shrapnel and wood killed a female civilian who was nearby.",Other
"On 13 March 2019, two suspected Southern Muslim Separatists dressed as women arrived on a motorcycle and hurled a pipe bomb at the living quarters of a police protection unit at Subotasae village in Yi Ngo district, Narathiwat province. The attack caused no injuries. The police fired four shots at the two attackers but they successfully fled the scene.",Other
"On 12 March 2019, two soldiers and a villager were wounded in bomb and shooting attacks on a military outpost in tambon Ko Sathon, Tak Bai district, Narathiwat province. 5-6 armed suspected Southern Muslim Separatists opened fire and soldiers returned it for 5 minutes before the separatists fled. Then other assailants arrived on a motor tricycle and stuffed a cooking gas cylinder on the road in front of the outpost, before it was shortly detonated. The explosion caused the boatshed and outpost to catch fire and burn to the ground. Soldiers tried to combat the fire and the assailants threw two more pipe bombs at the soldiers before fleeing.",Other
"On 11 March 2019, a patrol ranger from the 48th Ranger Regiment was injured by a hidden roadside bomb during his foot patrol in a team of six rangers near Ban Sala Road in Chuab subdistrict, Cho-Airong district, Narathiwat province. The bomb was 2m from a campaign poster of an MP candidate of the Phue Khon Thai Party. Soldiers and police later found the scattered shrapnel and remnants of an IED detonated by radio signal in a 5kg iron box.",Other
"On 10 March 2019, two bombs exploded in front of a grocery shop at Moo 6 village in tambon Khlong Khut, Mueang Satun, Satun province at two different times early in the morning. No injuries were reported. Later police reports allege the bombs were planted by Southern Muslim Separatists.",Other
"On 10 March 2019, in Phatthalung's Pak Payoon district, there were three explosions: two explosions at two separate grocery shops in Moo 3 and Moo 11 of tambon Don Pradu; one outdoor explosion in Moo 11 of Don Pradu. There was also the discovery of a suspicious bomb item in Moo 9 of Don Pradu. Later police reports allege the bombs were planted by Southern Muslim Separatists.",Other
